"id","user_id","department","designation","phone","address","joining_date","profile_picture"
1,1,"Engineering","Software Developer","9876543210","Pune, Maharashtra","2026-08-22",NULL
2,12,"Engineering","Frontend Developer","9362950628","Pune, Maharashtra","2023-04-03",NULL
3,13,"IT Support","IT Support Engineer","9734036506","Pune, Maharashtra","2024-05-14",NULL
4,14,"Engineering","Backend Developer","9349817734","Pune, Maharashtra","2024-10-31",NULL
5,15,"Operations","Operations Executive","9868820204","Pune, Maharashtra","2025-08-23",NULL
6,16,"Marketing","Marketing Executive","9582334538","Pune, Maharashtra","2025-04-21",NULL
7,17,"Administration","Administrative Executive","9849621470","Pune, Maharashtra","2024-05-15",NULL
8,18,"Sales","Sales Executive","9919795579","Pune, Maharashtra","2023-11-21",NULL
9,19,"Marketing","Marketing Executive","9485451171","Pune, Maharashtra","2023-12-06",NULL
10,20,"Administration","Administrative Executive","9883543540","Pune, Maharashtra","2024-07-29",NULL
11,21,"Marketing","Marketing Executive","9692749116","Pune, Maharashtra","2023-08-24",NULL
12,22,"Administration","Office Administrator","9719927151","Pune, Maharashtra","2023-01-29",NULL
13,23,"Engineering","Backend Developer","9930075810","Pune, Maharashtra","2023-08-16",NULL
14,24,"Administration","Administrative Executive","9508157429","Pune, Maharashtra","2023-07-24",NULL
15,25,"Sales","Sales Manager","9481469012","Pune, Maharashtra","2023-03-06",NULL
16,26,"IT Support","IT Support Engineer","9754049436","Pune, Maharashtra","2025-07-24",NULL
17,27,"IT Support","IT Support Engineer","9275452091","Pune, Maharashtra","2024-08-04",NULL
18,28,"IT Support","IT Support Engineer","9835098955","Pune, Maharashtra","2023-10-27",NULL
19,29,"Sales","Sales Executive","9964411347","Pune, Maharashtra","2023-10-09",NULL
20,30,"Engineering","Backend Developer","9709004943","Pune, Maharashtra","2026-01-10",NULL
21,31,"IT Support","System Administrator","9524806516","Pune, Maharashtra","2025-08-09",NULL
22,32,"Finance","Accountant","9364814270","Pune, Maharashtra","2026-03-06",NULL
23,33,"Finance","Finance Executive","9727694430","Pune, Maharashtra","2024-05-27",NULL
24,34,"Finance","Accountant","9248532577","Pune, Maharashtra","2024-11-09",NULL
25,35,"Administration","Administrative Executive","9217734861","Pune, Maharashtra","2022-11-10",NULL
26,36,"Administration","Office Administrator","9740389325","Pune, Maharashtra","2022-05-11",NULL
27,37,"Operations","Operations Manager","9668132202","Pune, Maharashtra","2023-05-30",NULL
28,38,"IT Support","IT Support Engineer","9831980933","Pune, Maharashtra","2025-01-04",NULL
29,39,"Administration","Office Administrator","9219778234","Pune, Maharashtra","2023-08-25",NULL
30,40,"Marketing","Marketing Executive","9875340444","Pune, Maharashtra","2026-01-13",NULL
31,41,"Administration","Administrative Executive","9645119047","Pune, Maharashtra","2022-08-06",NULL
