"id","employee_id","name","email","password_hash","role","created_at"
1,"EMP001","Test Employee","employee@dayflow.com","$2b$12$xGlG9UzzmLjWFHcS6CGUxO/ZZZsYG1ST8GGoREYXc3tubdwB.XR7.","EMPLOYEE","2026-08-22 10:14:34.161987"
2,"HR001","HR Manager","hr@dayflow.com","$2b$12$xGlG9UzzmLjWFHcS6CGUxO/ZZZsYG1ST8GGoREYXc3tubdwB.XR7.","HR","2026-08-22 12:19:48.654537"
3,"HR002","HR Manager 2","hr002@dayflow.com","scrypt:32768:8:1$B7WslpCypDxTCYNB$ed1a72d8c25c057639f87bc159801f373e187aac0ccbb760c3472d6768a60acb007615803f1d1dd314967ec76bc026b091b88a1ea09ddcdc9132ab56e0a4deb6","HR","2026-08-22 07:34:28.955775"
4,"HR003","HR Manager 3","hr003@dayflow.com","scrypt:32768:8:1$Bp13MYHwfnDVcbu0$713f790ef8369bb38c0c71396a8e5bb28678626ec769f1ccd9954a1b208fdf22fbba0a14bf581cbf3ac3f021e1284ba273b0eec9f04743a4f6842482608320f9","HR","2026-08-22 07:34:29.049492"
5,"HR004","HR Manager 4","hr004@dayflow.com","scrypt:32768:8:1$XrcKAue0GcIewhxh$7be45373211dec3c39ec1666d5b9857bb7bbffaab80d0a0af709a6ea0c3fa13f8340725e8b2bdf538240f0b894462cc68f7901658e9413a9a4dd3d4307382fe4","HR","2026-08-22 07:34:29.137558"
6,"HR005","HR Manager 5","hr005@dayflow.com","scrypt:32768:8:1$QUP7oQWtvWKbv0m7$2db9c6912d6a3f3796328aad937fa118ee8bffa23f233027539c1979a87eea291aabbd2d86b3b06824ffd73037dc952de7692f5cdc164644bcbe9cd9d995b382","HR","2026-08-22 07:34:29.224986"
7,"HR006","HR Manager 6","hr006@dayflow.com","scrypt:32768:8:1$h3CHugBxfsLBVYyw$305b1e57f24c1f623b56f0c78f236f2beb1468bce58a4b0e0351cfcd8821dfdf3013844d4c8eca9994456198e59dc5436ac357fc639c80f7a62a5dd915f75965","HR","2026-08-22 07:34:29.313431"
8,"HR007","HR Manager 7","hr007@dayflow.com","scrypt:32768:8:1$nHFRe9gsb6cDKNoa$a5cc7a806d41574138affe5c67c81f8f87b7773e02b2d1be6e3eaa46b2ebbd466f13551710f9e9d7f8babc5c3c09256e51563f662264ff777da3860ed653431e","HR","2026-08-22 07:34:29.402232"
9,"HR008","HR Manager 8","hr008@dayflow.com","scrypt:32768:8:1$q9Y5cz84BIRCNy6w$ba7fa8ca1ae7a11c7e450db936eae14ce7766ccde14825a71e3e8c57613431c751b133e6204328f7a93a54fb486dd881d176d2c2012a6e078130edddaaecaade","HR","2026-08-22 07:34:29.491961"
10,"HR009","HR Manager 9","hr009@dayflow.com","scrypt:32768:8:1$SkJB1YplzHWlDilv$725c74920d35ab3ed794db18429927460c021d1f8332aaca79921d61ff1c6399c2478087474f4a8c66c70bc82d6a11311c8c9c564ece7b2d93b078fd0fe11bfe","HR","2026-08-22 07:34:29.587122"
